year,utility_parent_company,org_short,total_contributions_usd,n_contributions
2026,Dominion Energy,DGA,265000,2
2026,Avangrid,DGA,250000,1
2026,Vistra Energy,DGA,250000,1
2026,Dominion Energy,RGA,200000,2
2026,Vistra Energy,RSLC,158500,5
2026,Dominion Energy,RSLC,150000,1
2026,Southern Company,DGA,150000,1
2026,American Electric Power,RGA,125000,1
2026,Dominion Energy,DAGA,125000,1
2026,NextEra,RAGA,125000,1
2026,American Electric Power,DGA,100000,1
2026,Avangrid,RGA,100000,1
2026,Dominion Energy,GOPAC,100000,1
2026,Duke Energy,RGA,100000,1
2026,Edison Electric Institute,RGA,100000,1
2026,Essential Utilities,RSLC,100000,3
2026,NextEra,GOPAC,100000,2
2026,Nuclear Energy Institute,DGA,100000,1
2026,Southern Company,RSLC,100000,1
2026,Vistra Energy,DLCC,100000,1
2026,Pinnacle West Capital,GOPAC,95000,3
2026,NextEra,DLCC,75000,2
2026,NextEra,RGA,75000,3
2026,American Gas Association,RSLC,70000,3
2026,NRG Energy,RAGA,70000,2
2026,NRG Energy,DAGA,50000,1
2026,Nuclear Energy Institute,RSLC,50000,1
2026,OGE Energy Corp,RAGA,50000,1
2026,OGE Energy Corp,RGA,50000,1
2026,Emera,GOPAC,40000,2
2026,Fortis,DGA,35000,2
2026,NRG Energy,DLCC,35000,2
2026,NextEra,RSLC,35000,2
2026,National Grid,DGA,30000,1
2026,American Electric Power,RSLC,25000,1
2026,American Gas Association,DGA,25000,1
2026,Edison Electric Institute,GOPAC,25000,1
2026,Fortis,DLCC,25000,1
2026,NRG Energy,RSLC,25000,1
2026,NextEra,DGA,25000,1
2026,Vistra Energy,DAGA,25000,1
2026,Vistra Energy,RAGA,25000,1
2026,Duquesne Light Company,DLCC,22000,1
2026,Edison Electric Institute,RSLC,20000,2
2026,American Gas Association,DAGA,15000,1
2026,Southwest Gas,GOPAC,15000,1
2026,Edison Electric Institute,DGA,10000,1
2026,NiSource,DGA,10000,1
2025,Dominion Energy,DGA,835000,7
2025,Dominion Energy,RAGA,800000,4
2025,Edison Electric Institute,RGA,510036,2
2025,NextEra,RGA,410000,7
2025,NextEra,DGA,373000,7
2025,Duke Energy,GOPAC,365000,4
2025,Avangrid,DGA,325000,3
2025,Vistra Energy,RGA,301500,5
2025,Dominion Energy,GOPAC,275000,3
2025,Pinnacle West Capital,DGA,275000,2
2025,Public Service Enterprise Group,DGA,260000,4
2025,American Electric Power,RGA,250000,1
2025,Dominion Energy,DAGA,250000,2
2025,Southern Company,RAGA,250000,2
2025,Vistra Energy,DGA,250000,1
2025,Public Service Enterprise Group,RGA,225000,4
2025,Southern Company,RGA,182769,3
2025,NRG Energy,DGA,165000,4
2025,Southern Company,DGA,150000,1
2025,Vistra Energy,RSLC,145950,4
2025,Vistra Energy,DLCC,127500,3
2025,Public Service Enterprise Group,DLCC,125000,1
2025,Edison Electric Institute,DGA,110000,2
2025,NextEra,GOPAC,110000,4
2025,Nuclear Energy Institute,RGA,106947,2
2025,NiSource,DGA,105000,4
2025,Berkshire Hathaway Energy,RGA,100500,3
2025,American Electric Power,DGA,100000,1
2025,American Gas Association,RAGA,100000,2
2025,Avangrid,DLCC,100000,1
2025,Avangrid,RGA,100000,1
2025,Avangrid,RSLC,100000,1
2025,Dominion Energy,RGA,100000,1
2025,Dominion Energy,RSLC,100000,1
2025,Duke Energy,DGA,100000,1
2025,NRG Energy,RGA,100000,1
2025,Nuclear Energy Institute,DGA,100000,1
