parent_company,total_contributions_usd,n_contributions,first_year,last_year,top_recipient_orgs
NextEra,19248027,325,2003,2026,"RGA, DGA, RSLC, RAGA, GOPAC, DAGA, DLCC"
Dominion Energy,12357371,232,2005,2026,"RSLC, DGA, RGA, RAGA, DLCC, DAGA, GOPAC"
Duke Energy,12301138,230,2003,2026,"RGA, DGA, GOPAC, RSLC, DLCC, RAGA, DAGA"
Southern Company,7923221,209,2003,2026,"RGA, DGA, RAGA, RSLC, DAGA, DLCC, GOPAC"
Nuclear Energy Institute,5629768,182,2004,2026,"DGA, RGA, RSLC, DLCC, DAGA, RAGA, GOPAC"
Edison Electric Institute,5609991,225,2002,2026,"RGA, DGA, RSLC, DAGA, DLCC, RAGA, GOPAC"
Vistra Energy,5343949,206,2008,2026,"RGA, DGA, RSLC, DLCC, RAGA, DAGA"
American Electric Power,4722671,122,2004,2026,"RGA, DGA, RSLC, RAGA, GOPAC, DAGA, DLCC"
FirstEnergy,4293662,64,2002,2026,"RGA, DGA, RSLC, RAGA, GOPAC, DLCC"
Alliant Energy,3844230,140,2008,2026,"RGA, RSLC, DGA, DAGA, DLCC, RAGA"
Xcel Energy,3770470,134,2006,2026,"DGA, RGA, RSLC, GOPAC, DLCC, RAGA"
NRG Energy,3386335,116,2006,2026,"DGA, RGA, DAGA, RAGA, DLCC, RSLC"
Pinnacle West Capital,3131000,68,2002,2026,"RGA, RAGA, DGA, GOPAC, RSLC, DLCC, DAGA"
Public Service Enterprise Group,3108350,103,2003,2025,"DGA, RGA, RSLC, DLCC"
American Gas Association,2758498,243,2002,2026,"RGA, RSLC, DGA, RAGA, GOPAC, DAGA, DLCC"
Avangrid,2723950,45,2015,2026,"DGA, RSLC, DLCC, RGA, DAGA"
Berkshire Hathaway Energy,2664600,104,2003,2025,"RGA, RAGA, RSLC, DGA, DLCC, DAGA"
Exelon,2643144,103,2002,2026,"DGA, RGA, RSLC, DLCC, GOPAC"
Fortis,2328391,122,2010,2026,"RGA, DGA, RSLC, DLCC, GOPAC"
CenterPoint Energy,1324399,84,2006,2025,"RGA, RSLC, RAGA, DAGA, DGA, DLCC"
Eversource,1083922,34,2002,2023,"DGA, RGA, DAGA"
Entergy,1031609,26,2009,2024,"RGA, RAGA, DGA, DAGA, RSLC"
Essential Utilities,950000,13,2011,2026,"RGA, DGA, RSLC"
DTE Energy,916428,48,2002,2025,"RGA, DGA, RAGA, RSLC, DLCC, DAGA, GOPAC"
NiSource,873750,39,2010,2026,"RGA, DGA, RSLC, GOPAC"
AES Corporation,842700,51,2003,2026,"DGA, RGA, DLCC"
Calpine,802760,46,2002,2025,"DGA, RSLC, RGA, GOPAC"
PG&E Corp,597361,13,2003,2026,"DGA, DAGA, DLCC, RGA"
OGE Energy Corp,456000,13,2022,2026,"RGA, RAGA"
Puget Sound Energy,455250,38,2003,2025,"DGA, RSLC, GOPAC, RGA, DLCC, DAGA"
CMS Energy,446891,29,2002,2025,"RGA, DGA, RSLC, RAGA, DAGA, DLCC"
Spire,325874,19,2006,2023,"RGA, RSLC, DGA, GOPAC"
Sempra Energy,299075,21,2005,2023,"RGA, DGA, RAGA, RSLC"
Emera,284000,23,2017,2026,"RSLC, GOPAC, RAGA, RGA, DGA"
Atmos Energy,272970,16,2008,2026,"RGA, RSLC"
Salt River Project,263400,23,2003,2025,"RGA, DGA, DAGA, RAGA"
National Grid,260000,12,2006,2026,"DGA, RGA, DAGA"
Alta Gas,250350,13,2003,2025,"DGA, DAGA, RGA, DLCC"
Constellation,232500,10,2022,2026,"DGA, RGA"
WEC Energy,225634,26,2004,2016,"RGA, DGA, RSLC, DLCC"
PPL Corporation,211852,27,2009,2025,"RGA, RAGA, RSLC, DGA, DLCC"
Enbridge,208300,15,2018,2025,"RAGA, RSLC, DGA, RGA, DLCC"
Duquesne Light Company,189000,11,2018,2026,"RSLC, DLCC, DGA"
Southwest Gas,159397,25,2010,2026,"GOPAC, DGA, RGA, RSLC, RAGA, DLCC"
TXNM Energy,152250,13,2016,2024,"RGA, DLCC, DGA"
ONE Gas,150000,3,2019,2021,RGA
Avista Corporation,145000,8,2004,2014,"DGA, RGA, DLCC"
Ameren,110000,13,2009,2025,"DGA, RGA, RSLC"
National Rural Electric Cooperative Association,97500,6,2014,2025,"RSLC, DLCC, DAGA"
Black Hills Corporation,56150,5,2009,2018,"RGA, DGA"
