year,org_short,total_contributions_usd,n_contributions
2002,RGA,202667,13
2003,DGA,100000,9
2003,DLCC,22000,4
2003,RGA,165235,38
2003,RSLC,10000,2
2004,DGA,162566,14
2004,DLCC,18000,3
2004,GOPAC,2500,1
2004,RGA,452674,39
2004,RSLC,32000,3
2005,DGA,126103,11
2005,DLCC,12000,1
2005,GOPAC,2500,1
2005,RGA,187043,23
2005,RSLC,35000,5
2006,DGA,347890,19
2006,DLCC,60500,5
2006,GOPAC,8625,5
2006,RGA,390125,22
2006,RSLC,155500,13
2007,DAGA,30000,2
2007,DGA,294425,17
2007,DLCC,23000,3
2007,GOPAC,5000,1
2007,RGA,409500,19
2007,RSLC,162899,13
2008,DAGA,55000,3
2008,DGA,589900,32
2008,DLCC,83750,8
2008,RGA,809813,34
2008,RSLC,212174,14
2009,DAGA,67500,7
2009,DGA,830844,37
2009,DLCC,49500,4
2009,RGA,723150,32
2009,RSLC,192580,18
2010,DAGA,70000,4
2010,DGA,2143467,53
2010,DLCC,77500,9
2010,GOPAC,12000,4
2010,RGA,2161610,65
2010,RSLC,224672,20
2011,DAGA,80000,5
2011,DGA,1403450,39
2011,DLCC,55000,2
2011,GOPAC,12285,2
2011,RGA,1787307,50
2011,RSLC,326736,25
2012,DAGA,65000,5
2012,DGA,1438056,41
2012,DLCC,117000,7
2012,GOPAC,10000,1
2012,RGA,1389250,49
2012,RSLC,560368,46
2013,DAGA,95000,7
2013,DGA,1473025,45
2013,DLCC,107500,7
2013,GOPAC,14500,3
2013,RGA,1936978,47
2013,RSLC,595577,44
2014,DAGA,87500,7
2014,DGA,1367119,47
2014,DLCC,192250,11
2014,GOPAC,45000,3
2014,RAGA,701495,17
2014,RGA,7247147,69
2014,RSLC,559529,36
2015,DAGA,85000,6
2015,DGA,863700,24
2015,DLCC,144500,8
2015,GOPAC,48500,7
2015,RAGA,287241,25
2015,RGA,1288550,46
2015,RSLC,546428,54
2016,DAGA,85000,5
2016,DGA,1206277,31
2016,DLCC,176170,16
2016,GOPAC,141000,12
2016,RAGA,362425,23
2016,RGA,1752779,47
2016,RSLC,707320,53
2017,DAGA,95600,9
2017,DGA,1067364,38
2017,DLCC,186000,14
2017,GOPAC,85000,6
2017,RAGA,452075,24
2017,RGA,2031782,78
2017,RSLC,592708,40
2018,DAGA,210000,7
2018,DGA,2141550,47
2018,DLCC,264100,29
2018,GOPAC,92500,8
2018,RAGA,1061105,24
2018,RGA,3269010,66
2018,RSLC,657700,52
2019,DAGA,263410,11
2019,DGA,1876550,43
2019,DLCC,741302,44
2019,GOPAC,152500,13
2019,RAGA,569690,32
2019,RGA,2101673,51
2019,RSLC,1338291,53
2020,DAGA,420000,14
2020,DGA,1970000,25
2020,DLCC,490000,12
2020,GOPAC,320000,14
2020,RAGA,644400,23
2020,RGA,2240000,30
2020,RSLC,922500,28
2021,DAGA,562500,16
2021,DGA,2107500,33
2021,DLCC,940750,23
2021,GOPAC,370000,11
2021,RAGA,284000,15
2021,RGA,1663537,44
2021,RSLC,1551500,42
2022,DAGA,505394,18
2022,DGA,2586900,51
2022,DLCC,696250,25
2022,GOPAC,625000,16
2022,RAGA,387465,20
2022,RGA,3556300,63
2022,RSLC,1740000,59
2023,DAGA,553500,20
2023,DGA,2740000,42
2023,DLCC,578400,22
2023,GOPAC,585000,11
2023,RAGA,508371,15
2023,RGA,2419500,32
2023,RSLC,1939750,62
2024,DAGA,362780,12
2024,DGA,2889483,52
2024,DLCC,683400,19
2024,GOPAC,795000,19
2024,RAGA,756400,22
2024,RGA,2131354,46
2024,RSLC,1980689,63
2025,DAGA,614156,16
2025,DGA,3743000,62
2025,DLCC,549000,18
2025,GOPAC,940000,22
2025,RAGA,1565000,26
2025,RGA,2732752,46
2025,RSLC,803450,30
2026,DAGA,215000,4
2026,DGA,1250000,14
2026,DLCC,257000,7
2026,GOPAC,375000,10
2026,RAGA,270000,5
2026,RGA,750000,10
2026,RSLC,733500,20
