year,DGA,DAGA,DLCC,RGA,RAGA,RSLC,GOPAC
2002,0,0,0,202667,0,0,0
2003,100000,0,22000,165235,0,10000,0
2004,162566,0,18000,452674,0,32000,2500
2005,126103,0,12000,187043,0,35000,2500
2006,347890,0,60500,390125,0,155500,8625
2007,294425,30000,23000,409500,0,162899,5000
2008,589900,55000,95750,809813,0,222174,0
2009,830844,67500,62000,723150,0,207580,0
2010,2143467,70000,90000,2312060,0,239971,12000
2011,1403450,80000,67500,1837307,0,339535,12285
2012,1438056,65000,129500,1389250,0,585966,10000
2013,1473025,95000,120000,1936978,0,629336,14500
2014,1367119,87500,214750,7247147,723605,572827,45000
2015,863700,85000,157000,1288550,312851,574327,48500
2016,1206277,85000,188670,1752779,387960,748518,141000
2017,1067364,95600,186000,2031782,452075,593007,85000
2018,2141550,210000,264100,3269010,1061105,667700,92500
2019,1876550,263410,741302,2101673,569690,1338924,152500
2020,1970000,420000,490000,2240000,644400,922500,320000
2021,2107500,562500,940750,1663537,284000,1551500,370000
2022,2586900,505394,696250,3556300,387465,1740000,625000
2023,2740000,553500,578400,2419500,508371,1939750,585000
2024,2889483,362780,683400,2131354,756400,1980689,795000
2025,3743000,614156,549000,2732752,1565000,803450,940000
2026,1790000,335425,432300,1230000,595000,1453500,492000
